rank,peak,all_time_peak,actual_gross,adjusted_gross_in_2022_dollars,artist,tour_title,years,shows,average_gross,ref.,actual_gross_num
1,1,2,"78,00,00,000","78,00,00,000",Taylor Swift,The Eras Tour †,2023–2024,56,"1,39,28,571",[1],780000000
2,1,7[2],"57,98,00,000","57,98,00,000",Beyoncé,Renaissance World Tour,2023,56,"1,03,53,571",[3],579800000
3,1[4],2[5],"41,10,00,000","56,06,22,615",Madonna,Sticky & Sweet Tour ‡[4][a],2008–2009,85,"48,35,294",[6],411000000
4,2[7],10[7],"39,73,00,000","45,47,51,555",Pink,Beautiful Trauma World Tour,2018–2019,156,"25,46,795",[7],397300000
5,2[4],NA,"34,56,75,146","40,28,44,849",Taylor Swift,Reputation Stadium Tour,2018,53,"65,22,173",[8],345675146
6,2[4],10[9],"30,51,58,363","38,89,78,496",Madonna,The MDNA Tour,2012,88,"34,67,709",[9],305158363
7,2[10],NA,"28,00,00,000","38,19,32,682",Celine Dion,Taking Chances World Tour,2008–2009,131,"21,37,405",[11],280000000
7,NA,NA,"25,76,00,000","25,76,00,000",Pink,Summer Carnival †,2023–2024,41,"62,82,927",[12],257600000
9,NA,NA,"25,60,84,556","31,22,58,401",Beyoncé,The Formation World Tour,2016,49,"52,26,215",[13],256084556
10,NA,NA,"25,04,00,000","30,91,41,878",Taylor Swift,The 1989 World Tour,2015,85,"29,45,882",[14],250400000
11,NA,NA,229100000,"28,32,02,896",Beyoncé,The Mrs. Carter Show World Tour,2013–2014,132,"17,35,606",[15][16],229100000
12,NA,14[17],"22,74,00,000","29,53,01,479",Lady Gaga,The Monster Ball Tour *,2009–2011,203,"11,18,227",[18],227400000
13,NA,NA,"20,40,00,000","25,18,56,802",Katy Perry,Prismatic World Tour,2014–2015,151,"13,50,993",[19],204000000
14,1[20],NA,"20,00,00,000","29,96,76,265",Cher,Living Proof: The Farewell Tour ‡[21][a],2002–2005,325,"6,15,385",[20],200000000
15,2[c],NA,"19,40,00,000","28,16,17,035",Madonna,Confessions Tour,2006,60,"32,33,333",[5],194000000
16,NA,NA,"18,40,00,000","22,74,52,347",Pink,The Truth About Love Tour,2013–2014,142,"12,95,775",[22],184000000
17,NA,NA,"17,00,00,000","21,35,68,571",Lady Gaga,Born This Way Ball,2012–2013,98,"17,34,694",[d],170000000
18,NA,NA,"16,98,00,000","20,70,46,755",Madonna,Rebel Heart Tour,2015–2016,82,"20,70,732",[4],169800000
19,NA,NA,167700000,"20,44,86,106",Adele,Adele Live 2016,2016–2017,121,"13,85,950",[25],167700000
20,NA,NA,"15,00,00,000","18,54,23,109",Taylor Swift,The Red Tour,2013–2014,86,"17,44,186",[26],150000000
